utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
16 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
15 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
2 %, 1 %, 5934 MiB, 4958 MiB, 976 MiB
47 %, 10 %, 5934 MiB, 4958 MiB, 976 MiB
8 %, 1 %, 5934 MiB, 4958 MiB, 976 MiB
10 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
13 %, 5 %, 5934 MiB, 4958 MiB, 976 MiB
7 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
9 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
17 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
7 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
19 %, 7 %, 5934 MiB, 4948 MiB, 986 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
5 %, 2 %, 5934 MiB, 4958 MiB, 976 MiB
17 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
16 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
5 %, 2 %, 5934 MiB, 4958 MiB, 976 MiB
19 %, 7 %, 5934 MiB, 4958 MiB, 976 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
16 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
14 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
18 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
4 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
4 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
9 %, 3 %, 5934 MiB, 4945 MiB, 989 MiB
3 %, 1 %, 5934 MiB, 4955 MiB, 979 MiB
14 %, 5 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 2 %, 5934 MiB, 4955 MiB, 979 MiB
23 %, 9 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 0 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 0 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
11 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
19 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
17 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
15 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
21 %, 8 %, 5934 MiB, 4956 MiB, 978 MiB
